Variable Name- English,Variable Name- French,Property,ID,Survey Medium,EN Label,FR Label
Q50A_dv,Q50A_dv,TEXT,,BOTH,Q50a. Ground turkey,Q50a. Dinde hachée
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q50B_dv,Q50B_dv,TEXT,,BOTH,Q50b. Turkey sausage,Q50b. Saucisses de dinde
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q50C_dv,Q50C_dv,TEXT,,BOTH,Q50c. Whole turkey,Q50c. Dinde entière
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q50D_dv,Q50D_dv,TEXT,,BOTH,Q50d. Turkey pieces or parts,Q50d. Dinde en morceaux ou en pièces
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q51,Q52,TEXT,,BOTH,Q51. Other poultry ,Q51. Autres volailles (excluant les charcuteries) 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q52_dv,Q52_dv,TEXT,,BOTH,Q52. Any deli-meat/cold cuts,Q52. Charcuteries ou viandes froides
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q52A_dv,Q52A_dv,TEXT,,BOTH,Q52a. Chicken deli-meat,Q52a. Charcuterie de poulet
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q52B_dv,Q52B_dv,TEXT,,BOTH,Q52b. Turkey deli-meat,Q52b. Charcuterie de dinde
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q52C_dv,Q52C_dv,TEXT,,BOTH,Q52c. Ham deli-meat,Q52c. Charcuterie de jambon
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q52D_dv,Q52D_dv,TEXT,,BOTH,Q52d. Beef deli-meat,Q52d. Charcuterie de bœuf
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q52E_dv,Q52E_dv,TEXT,,BOTH,"Q52e. Other deli-meat, specify",Q52e. Autres charcuteries
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q52E_O,Q52E_O,TEXT,,BOTH,"Q52e. Other deli meat, specify:","Q52e. Autres charcuteries, préciser "
,,,TEXT,,,
Q53,Q53,TEXT,,BOTH,Q53. Hot dogs,Q53. Hot-dogs
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q54,Q54,TEXT,,BOTH,Q54. Pâté/meat spread,Q54. Pâtés/viandes à tartiner
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q55_dv,Q55_dv,TEXT,,BOTH,Q55. Any organ meats,Q55. Abats 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q55A_dv,Q55A_dv,TEXT,,BOTH,Q55a. Veal or calf liver,Q55a. Foie de veau
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q55AI_dv,Q55AI_dv,TEXT,,BOTH,Q55ai. Veal or calf liver consumed raw or undercooked,Q55ai. Foie de veau cru ou pas assez cuit
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q55B_dv,Q55B_dv,TEXT,,BOTH,Q55b. Other organ meat,Q55b. Autres abats
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q55B_O,Q55B_O,TEXT,,BOTH,"Q55b. Other organ meat, specify",Q55b. Autres abats
,,,TEXT,,,
Q56,Q56,TEXT,,BOTH,Q56. Goat,Q56. Chèvre
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q57,Q57,TEXT,,BOTH,Q57. Lamb,Q57. Agneau
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q58,Q58,TEXT,,BOTH,Q58. Horse,Q58. Cheval
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q59,Q59,TEXT,,BOTH,Q59. Any dried/cured meat products ,Q59. Produits de viande séchée
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q60,Q60,TEXT,,BOTH,Q60. Since 1996: Deer,Q60. Dupuis 1996 : chevreuil
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q61,Q61,TEXT,,BOTH,Q61. Since 1996: Elk,Q61. Dupuis 1996 : wapiti
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q62,Q62,TEXT,,BOTH,Q62. Since 1996: Moose,Q62. Dupuis 1996 : orignal
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q63,Q63,TEXT,,BOTH,Q63. Since 1996: Caribou,Q63. Dupuis 1996 : caribou
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
,,TEXT,,BOTH,Q64. Consumed large game: how many times,Q64: Chassé du gros gibier : combien de fois
Q64,Q64,CHOICE,1,,Once or twice during this year,Une ou deux fois cette année là
,,CHOICE,2,,3-10 times during this year,Entre trois et dix fois cette année là
,,CHOICE,3,,About once a month during this year,Environ une fois par mois cette année là
,,CHOICE,4,,About once a week during this year,Environ une fois par semaine cette année là
,,CHOICE,5,,More than once a week during this year,Plus d’une fois par semaine cette année là
Q65,Q65,TEXT,,BOTH,Q65. Consumed large game: how much was wild,Q65. Quelle proportion de cette viande de gibier était sauvage
,,CHOICE,1,,None of the meat,Aucune viande
,,CHOICE,2,,Less than half of the meat,Moins de la moitié de la viande
,,CHOICE,3,,About half of the meat,Environ la moitié de la viande
,,CHOICE,4,,More than half of the meat,Plus de la moitié de la viande
,,CHOICE,5,,All of the meat,Toute la viande
Q66,Q66,TEXT,,BOTH,Q66. How often have you hunted large game,Q66. À quelle fréquence avez-vous chassé du gros gibier
,,CHOICE,1,,Never,Jamais
,,CHOICE,2,,About 1-10 times,Entre une et dix fois
,,CHOICE,3,,About 11-20 times,Entre 11 et 20 fois
,,CHOICE,4,,More than 20 times,Plus de 20 fois
Q67,Q67,TEXT,,BOTH,Q67. Hunted or farmed deer,Q67. Chevreuil chassé ou d’élevage
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q68,Q68,TEXT,,BOTH,Q68. Other hunted meats (not including seafood),Q68. Autres viandes chassées (sauf les fruits de mer)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q68_O,Q68_O,TEXT,,BOTH,"Q68. Other hunted meats, specify","Q68. Autres viandes chassées, préciser"
,,,TEXT,,Please Specify,Veuillez préciser
Q69_dv,Q69_dv,TEXT,,BOTH,Q69. Any seafood,Q69. Fruits de mer
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69A_dv,Q69A_dv,TEXT,,TEXT,Q69a. Any fish ,Q69a. Poisson 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69AI_dv,Q69AI_dv,TEXT,,TEXT,Q69ai. Smoked fish,Q69ai. Poisson fumé 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69AII_dv,Q69AII_dv,TEXT,,TEXT,Q69aii. Fish eaten raw ,Q69aii. Poisson consommé cru 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69B_dv,Q69B_dv,TEXT,,TEXT,Q69b. Any shellfish,Q69b. Mollusques
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69BI_dv,Q69BI_dv,TEXT,,TEXT,Q69bi. Mussels,Q69bi. Moules
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69BII_dv,Q69BII_dv,TEXT,,TEXT,Q69bii. Clams,Q69bii. Palourdes
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69BIII_dv,Q69BIII_dv,TEXT,,TEXT,Q69biii. Shrimp/Prawns,Q69biii. Crevettes et écrevisses
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69BIV_dv,Q69BIV_dv,TEXT,,TEXT,Q69biv. Oysters,Q69biv. Huîtres
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q69BIV_1_dv,Q69BIV_1_dv,TEXT,,TEXT,Q69biv_1. Oysters consumed raw,Q69biv_1. Huîtres consommées cru
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q70_dv,Q70_dv,TEXT,,BOTH,Q70. Any eggs ,Q70. Tout type d’œufs
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q70A_dv,Q70A_dv,TEXT,,BOTH,Q70a. Raw or undercooked eggs,Q70a. Œufs crus ou pas assez cuits
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q71,Q71,TEXT,,BOTH,Q71. Ice cream,Q71. Crème glacée
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q72,Q72,TEXT,,BOTH,Q72. Desserts containing milk or cream ,Q72. Desserts contenant du lait ou de la crème 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q73,Q73,TEXT,,BOTH,Q73. Yogurt,Q73. Yogourt
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q74,Q74,TEXT,,BOTH,"Q74. Unpasteurized (raw) milk, excluding cheese","Q74. Lait non pasteurisé (cru), sauf le fromage"
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q75_dv,Q75_dv,TEXT,,BOTH,Q75. Any cheese products,Q75. Tous les produits à base de fromage
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q75A_dv,Q75A_dv,TEXT,,BOTH,Q75a. Gouda,Q75a. Gouda
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q75B_dv,Q75B_dv,TEXT,,BOTH,Q75b. Feta cheese,Q75b. Fromage feta
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q75C_dv,Q75C_dv,TEXT,,BOTH,"Q75c. Brie, camembert or other soft cheeses","Q75c. Brie, camembert ou autres fromages à pâte molle"
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q75D_dv,Q75D_dv,TEXT,,BOTH,Q75d. Cheese made from goat milk,Q75d. Fromage de lait de chèvre
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q75E_dv,Q75E_dv,TEXT,,BOTH,Q75e. Cheese made with unpasteurized (raw) milk,Q75e. Fromage fait de lait cru non pasteurisé
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q76,Q76,TEXT,,BOTH,Q76. Non-dairy milk,Q76. Succédanés du lait
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q77,Q77,TEXT,,BOTH,Q77. Other non-dairy products/substitutes,Q77. Autres produits et substituts non laitiers
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q78,Q78,TEXT,,BOTH,Q78. Any wheat flour ,Q78. Farine de blé
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q79,Q79,TEXT,,BOTH,Q79. Eat/taste unbaked dough/batter made with wheat flour,Q79. Manger/goûter de la pâte non cuite/pâte faite de farine de blé
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q80,Q80,TEXT,,BOTH,Q80. Other flour,Q80. Autres farines
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q81_dv,Q81_dv,TEXT,,BOTH,Q81. Any plant-based meat substitutes,Q81. Tout substitut de viande à base de plantes
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q81A_dv,Q81A_dv,TEXT,,BOTH,Q81a. Tofu,Q81a. Tofu
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q81B_dv,Q81B_dv,TEXT,,BOTH,Q81b. Other plant-based meat substitute,Q81b. Autres substituts de viande d’origine végétale
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q82,Q83,TEXT,,BOTH,Q82. Hummus (excluding home-made),Q82. Houmous (sauf le houmous fait maison)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q83_dv,Q83_dv,TEXT,,BOTH,Q83. Dietary or nutritional supplement,Q83. Suppléments alimentaires ou nutritionnels
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q83A_dv,Q83A_dv,TEXT,,BOTH,Q83a. Meal replacement beverage,Q83a. Boissons vendues comme substituts de repas
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q83B_dv,Q83B_dv,TEXT,,BOTH,Q83b. Protein powder,Q83b. Poudre de protéine
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q83C_dv,Q83C_dv,TEXT,,BOTH,Q83c. Probiotics,Q83c. Probiotiques
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q84,Q84,TEXT,,BOTH,Q84. Food or drink containing cannabis,Q84. Aliments ou boissons contenant du cannabis
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q85,Q85,TEXT,,BOTH,Q85. Consumed meat from a butcher shop,Q85. Consommation de viande provenant d’une boucherie
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q86_dv,Q86_dv,TEXT,,BOTH,Q86. Consumed food from a farm market,Q86. Consommation d’aliments provenant d’un marché agricole
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q86A_dv,Q86A_dv,TEXT,,BOTH,Q86a. Consumed produce from a farm market,Q86a. Consommation de produits provenant d’un marché agricole
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q86B_dv,Q86B_dv,TEXT,,BOTH,Q86b. Consumed eggs from a farm market,Q86b. Consommation d’œufs provenant d’un marché agricole
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q86C_dv,Q86C_dv,TEXT,,BOTH,Q86c. Consumed meat from a farm market,Q86c. Consommation de viande provenant d’un marché agricole
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q86D_dv,Q86D_dv,TEXT,,BOTH,Q86d. Consumed cheese from a farm market,Q86d. Consommation de fromage d’un marché agricole
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q87_dv,Q87_dv,TEXT,,BOTH,Q87. Consumed food from a meal kit,Q87. Consommation de nourriture provenant d’une trousse-repas préparée
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N1,N1,TEXT,,BOTH,N1. Locally sourced morel or other mushrooms,N1. Morilles ou d’autres champignons locaux
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N2,N2,TEXT,,BOTH,N2. Locally produced raw/unpasteurized honey,N2. Miel brut ou non pasteurisé produit localement
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N3_dv,N3_dv,TEXT,,BOTH,N3. Locally sourced meat,N3. Viande d’origine locale
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N4_dv,N4_dv,TEXT,,BOTH,N4. Caribou,N4. Caribou
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N5_dv,N5_dv,TEXT,,BOTH,N5. Geese,N5. Oie
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N6_dv,N6_dv,TEXT,,BOTH,N6. Duck,N6. Canard
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N7_dv,N7_dv,TEXT,,BOTH,N7. Muskox,N7. Bœuf musqué
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N8_dv,N8_dv,TEXT,,BOTH,N8. Polar bear,N8. Ours polaire
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N9_dv,N9_dv,TEXT,,BOTH,N9. Seal,N9. Phoque
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N10_dv,N10_dv,TEXT,,BOTH,N10. Walrus,N10. Morse
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N11_dv,N11_dv,TEXT,,BOTH,N11. Beluga,N11. Béluga
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N12_dv,N12_dv,TEXT,,BOTH,N12. Narwhal,N12. Narval
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N13_dv,N13_dv,TEXT,,BOTH,N13. Bowhead,N13. Baleine boréale
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N14_dv,N14_dv,TEXT,,BOTH,N14. Other whale,N14. Autre baleine
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N15_dv,N15_dv,TEXT,,BOTH,N15. Ptarmigan/grouse,N15. Lagopède
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N16_dv,N16_dv,TEXT,,BOTH,N16. Moose,N16. Orignal
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N17_dv,N17_dv,TEXT,,BOTH,N17. Sheep,N17. Mouton
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N18_dv,N18_dv,TEXT,,BOTH,N18. Bear,N18. Ours
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N19_dv,N19_dv,TEXT,,BOTH,N19. Bison,N19. Bison
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N20_dv,N20_dv,TEXT,,BOTH,N20. Elk/Deer,N20. Wapiti/cerf
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N21_dv,N21_dv,TEXT,,BOTH,N21. Gophers/Ground Squirrels,N21. Marmottes/spermophiles
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N22_dv,N22_dv,TEXT,,BOTH,N22. Beaver/Muskrat,N22. Castor/rat musqué
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N23_dv,N23_dv,TEXT,,BOTH,N23. Rabbit or hare,N23. Lapin ou lièvre
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N24_dv,N24_dv,TEXT,,BOTH,N24. Goat,N24. Chèvre
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N25_dv,N25_dv,TEXT,,BOTH,N25. Porcupine,N25. Porc-épic
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N26_dv,N26_dv,TEXT,,BOTH,N26. Traditional dried meat from land animals,N26. Viande séchée traditionnelle provenant d’animaux terrestres
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N27_dv,N27_dv,TEXT,,BOTH,N27.Traditional dried meat from marine animals,N27. Viande séchée traditionnelle provenant d’animaux marins
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N28_dv,N28_dv,TEXT,,BOTH,N28. Locally sourced seafood,N28. Produits de la mer (poissons ou crustacés) d’origine locale
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N29_dv,N29_dv,TEXT,,BOTH,N29. Arctic Char,N29. Omble chevalier
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N30_dv,N30_dv,TEXT,,BOTH,N30. Whitefish,N30. Grand corégone
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N31_dv,N31_dv,TEXT,,BOTH,N31. Trout,N31. Truite
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N32_dv,N32_dv,TEXT,,BOTH,N32. Herring,N32. Hareng
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N33_dv,N33_dv,TEXT,,BOTH,N33. Inconnu,N33. Inconnu
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N34_dv,N34_dv,TEXT,,BOTH,N34. Salmon,N34. Saumon
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N35_dv,N35_dv,TEXT,,BOTH,N35. Cod/Burbot,N35. Morue/lote
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N36_dv,N36_dv,TEXT,,BOTH,N36. Seaweed,N36. Algues marines
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N37_dv,N37_dv,TEXT,,BOTH,N37. Pike,N37. Brochet
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N38_dv,N38_dv,TEXT,,BOTH,N38. Arctic Grayling,N38. Ombre arctique
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N39_dv,N39_dv,TEXT,,BOTH,N39. North: shellfish ,N39. Mollusques et crustacés
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N40_dv,N40_dv,TEXT,,BOTH,N40. Traditional dry fish ,N40. Poisson séché traditionnel
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N41_dv,N41_dv,TEXT,,BOTH,N41. Locally sourced eggs,N41. Œufs d’origine locale
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N42_dv,N42_dv,TEXT,,BOTH,N42. Duck eggs,N42. Œufs de canard
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N43_dv,N43_dv,TEXT,,BOTH,N43. Geese eggs,N43. Œufs d’oie
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
N44_dv,N44_dv,TEXT,,BOTH,N44. Other wild eggs,N44. Autres œufs sauvages
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q88,Q89,TEXT,,BOTH,Q88. Water supplied to main residence,Q88. Type d’eau potable fournie à la résidence
,,CHOICE,1,,Municipal/city water,Eau de la municipalité ou de la ville
,,CHOICE,2,,Private well,Puits privé
,,CHOICE,3,,Trucked-in water,Eau approvisionnée par des camions-citernes
,,CHOICE,4,,Cistern,Citerne
,,CHOICE,5,,Other water source,Préciser : Autres sources d’eau potable fournie à la résidence
O_Q88,O_Q89,TEXT,,BOTH,"Other water supplied to main residence, specify",
,,,TEXT,,,
Q89,Q89,TEXT,,BOTH,Q89. Drank water supplied to residence,Q89. Consommation de l’eau potable fournie à la résidence
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q90_C1,Q90_C1,CHOICE,,,Water consumed: municipal/city,Consommation d’eau : municipale/ville
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
Q90_C2,Q90_C2,CHOICE,,,Water consumed: private well,Consommation d’eau : puits privé
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
Q90_C3,Q90_C3,CHOICE,,,Water consumed: trucked-in water,Consommation d’eau : eau approvisionnée par des camions-citernes
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
Q90_C4,Q90_C4,CHOICE,,,Water consumed: store-bought bottled water,Consommation d’eau : eau embouteillée achetée en magasin
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
Q90_C5,Q90_C5,CHOICE,,,Water consumed: cistern,Consommation d’eau : citerne
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
Q90_C6,Q90_C6,CHOICE,,,"Water consumed: untreated lake, spring or river water","Consommation d’eau : eau de lac, de source ou de rivière non traitée"
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
Q90_C7,Q90_C7,CHOICE,,,"Water consumed: other source, specify",Consommation d’eau : autre source d’eau
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
Q90_C8,Q90_C8,CHOICE,,,Water consumed: unsure/prefer not to answer,Je ne sais pas/Je préfère ne pas répondre
,,,1,,Selected,Sélectionné
,,,0,,Not Selected,Non sélectionné
O_Q90_C7,O_Q90_C8,TEXT,,BOTH,"Water consumed: other source, specify",Préciser : Consommation d’eau : autre source d’eau
,,,TEXT,,,
Q91,Q91,TEXT,,BOTH,Q91. Swam in natural water,Q91. Nage dans de l’eau naturelle
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q92,Q92,TEXT,,BOTH,Q92.Companion animals in the home,Q92. Animaux de compagnie à la maison 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q93_dv,Q93_dv,TEXT,,BOTH,Q93. Touch or handle any companion animals,Q93.Contact avec des animaux de compagnie ou manipulation 
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q94,Q95,TEXT,,BOTH,Q94. Handle any pet waste or cleaned pet enclosure,Q94. Manipulation d’excréments d’animaux de compagnie ou nettoyage de l’enclos pour animaux
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q95_dv,Q95_dv,TEXT,,BOTH,Q95. Contact with pet with diarrhea,Q95. Contact avec un animal de compagnie souffrant de diarrhée
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q96_dv,Q96_dv,TEXT,,BOTH,Q96. Dog,Q96. Chiens
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q97_dv,Q97_dv,TEXT,,BOTH,Q97. Cat,Q97. Chats
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q98_dv,Q98_dv,TEXT,,BOTH,Q98. Reptile or amphibian,Q98. Reptiles ou amphibiens
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q99_dv,Q99_dv,TEXT,,BOTH,Q99. Rodent,Q99. Rongeurs
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q100_dv,Q100_dv,TEXT,,BOTH,Q100. Rabbit,Q100. Lapins
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q101_dv,Q101_dv,TEXT,,BOTH,Q101. Hedgehog,Q101. Hérissons
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q102_dv,Q102_dv,TEXT,,BOTH,Q102. Bird ,Q102. Oiseaux
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q103A_dv,Q103A_dv,TEXT,,BOTH,Q103a. Handle pet food/treats,Q103a. Manipulation d’aliments et de gâteries pour animaux de compagnie
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q103_dv,Q103_dv,TEXT,,BOTH,Q103. Dry pet food,Q103. Aliments secs pour animaux de compagnie
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q104_dv,Q104_dv,TEXT,,BOTH,Q104. Raw pet food,Q104. Aliments crus pour animaux de compagnie
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q105_dv,Q105_dv,TEXT,,BOTH,Q105. Raw treats derived from animal parts ,Q105. Produits crus dérivés de parties d’animaux
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q106_dv,Q106_dv,TEXT,,BOTH,Q106. Processed animal treats,Q106. Friandises transformées pour animaux
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q107_dv,Q107_dv,TEXT,,BOTH,Q107. Feeder rodents,Q107. Rongeurs servant à nourrir des reptiles
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q108_dv,Q108_dv,TEXT,,BOTH,Q108. Contact with any farm animals,Q108. Manipulé des animaux de la ferme / du bétail ou leurs déchets
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q109_dv,Q109_dv,TEXT,,BOTH,Q109. Cattle,Q109. Bovins
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q110_dv,Q110_dv,TEXT,,BOTH,Q110. Poultry,Q110. Volaille
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q111_dv,Q111_dv,TEXT,,BOTH,Q111. Pig,Q111. Cochon
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q112_dv,Q112_dv,TEXT,,BOTH,Q112. Sheep or goat,Q112. Moutons ou chèvres
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
