"Exposure","Province.Territory","Proportion"
"Honeydew melon","QC",12.7142982242514
"Honeydew melon","NB",10.1046079706097
"Honeydew melon","NS",10.2534356130132
"Honeydew melon","PE",9.86824712334363
"Honeydew melon","NL",17.2514604441147
"Honeydew melon","YT",11.8750128077552
"Honeydew melon","NT",18.9770129750739
"Honeydew melon","NU",22.1632944564211
"Honeydew melon","Canada",12.5424554957654
"Fresh honeydew melon","BC",1.99307348015178
"Fresh honeydew melon","AB",4.95745928387987
"Fresh honeydew melon","SK",2.24063081311279
"Fresh honeydew melon","MB",2.07981385252284
"Fresh honeydew melon","ON",4.25665934266251
"Fresh honeydew melon","QC",3.92647221845472
"Fresh honeydew melon","NB",3.69074685091427
"Fresh honeydew melon","NS",2.62950043652753
"Fresh honeydew melon","PE",2.13349466528587
"Fresh honeydew melon","NL",1.81294028355362
"Fresh honeydew melon","YT",3.99192120507645
"Fresh honeydew melon","NT",4.32138121877424
"Fresh honeydew melon","NU",5.76911382577725
"Fresh honeydew melon","Canada",3.72652549371971
"Frozen honeydew melon","BC",0.0502246772532315
"Frozen honeydew melon","AB",0.556231058715338
"Frozen honeydew melon","SK",0
"Frozen honeydew melon","MB",0.275454556649343
"Frozen honeydew melon","ON",0.193542817123087
"Frozen honeydew melon","QC",0.0384846737371132
"Frozen honeydew melon","NB",0.0470938299162781
"Frozen honeydew melon","NS",0
"Frozen honeydew melon","PE",1.3720361779581
"Frozen honeydew melon","NL",0.775467642971781
"Frozen honeydew melon","YT",0
"Frozen honeydew melon","NT",0
"Frozen honeydew melon","NU",0
"Frozen honeydew melon","Canada",0.18293942818189
"Watermelon","BC",25.099321063106
"Watermelon","AB",29.0518885700106
"Watermelon","SK",31.0601818361413
"Watermelon","MB",25.3979443754009
"Watermelon","ON",27.7885570157788
"Watermelon","QC",26.3169595250794
"Watermelon","NB",25.2741399846334
"Watermelon","NS",24.3969361749905
"Watermelon","PE",22.3930394125407
"Watermelon","NL",26.5219456194241
"Watermelon","YT",23.4651514418901
"Watermelon","NT",28.5045764663704
"Watermelon","NU",29.4994526173443
"Watermelon","Canada",27.0574979969066
"Fresh watermelon","BC",24.2866540292336
"Fresh watermelon","AB",27.1632075125983
"Fresh watermelon","SK",28.9607809000333
"Fresh watermelon","MB",23.8529187875309
"Fresh watermelon","ON",26.2989603711825
"Fresh watermelon","QC",25.3349650013044
"Fresh watermelon","NB",24.0169779052515
"Fresh watermelon","NS",21.3897707946185
"Fresh watermelon","PE",20.9258941932916
"Fresh watermelon","NL",21.6883405098396
"Fresh watermelon","YT",23.0417241978506
"Fresh watermelon","NT",27.07455938692
"Fresh watermelon","NU",27.2080257114761
"Fresh watermelon","Canada",25.6272136125035
"Frozen watermelon","BC",0.870952083892182
"Frozen watermelon","AB",1.45762028259647
"Frozen watermelon","SK",1.80409808411327
"Frozen watermelon","MB",1.74392068304166
"Frozen watermelon","ON",0.888057269259179
"Frozen watermelon","QC",0.823457386472663
"Frozen watermelon","NB",0.561696580231641
"Frozen watermelon","NS",1.32129337819451
"Frozen watermelon","PE",1.59697473214495
"Frozen watermelon","NL",3.34005585485641
"Frozen watermelon","YT",0.392957434167544
"Frozen watermelon","NT",4.1234525779637
"Frozen watermelon","NU",0.742684294356407
"Frozen watermelon","Canada",1.0412732736877
"Peaches","BC",16.8825897385606
"Peaches","AB",15.753734655651
"Peaches","SK",13.7149870231459
"Peaches","MB",14.2594993840752
"Peaches","ON",18.7906733266335
"Peaches","QC",18.0729873951744
"Peaches","NB",12.7494309205863
"Peaches","NS",13.0943330751196
"Peaches","PE",14.8580352393074
"Peaches","NL",15.2405614640292
"Peaches","YT",19.5177510389733
"Peaches","NT",19.3377773151939
"Peaches","NU",17.2174666804086
"Peaches","Canada",17.3553042576965
"Fresh peaches","BC",12.0886107213962
"Fresh peaches","AB",10.5092038134097
"Fresh peaches","SK",9.82861935093497
"Fresh peaches","MB",8.54460997907218
"Fresh peaches","ON",14.3633180304458
"Fresh peaches","QC",13.4617050566745
"Fresh peaches","NB",10.1921241508944
"Fresh peaches","NS",9.52554656064656
"Fresh peaches","PE",5.87148491852638
"Fresh peaches","NL",10.6394185439151
"Fresh peaches","YT",11.1845951830389
"Fresh peaches","NT",15.1346802908355
"Fresh peaches","NU",15.2427623841074
"Fresh peaches","Canada",12.7486365417725
"Frozen peaches","BC",4.37578618870614
"Frozen peaches","AB",4.52452825805711
"Frozen peaches","SK",4.52092053362676
"Frozen peaches","MB",4.47585694026273
"Frozen peaches","ON",3.62575341108666
"Frozen peaches","QC",3.9679535221681
"Frozen peaches","NB",2.32920595433587
"Frozen peaches","NS",3.15164663410605
"Frozen peaches","PE",2.68713046102885
"Frozen peaches","NL",5.20101577357435
"Frozen peaches","YT",8.21975203486111
"Frozen peaches","NT",1.6820965938076
"Frozen peaches","NU",1.55582944594159
"Frozen peaches","Canada",3.9488995705439
"Nectarines","BC",8.57585716111173
"Nectarines","AB",10.0832046762744
"Nectarines","SK",11.4108715105027
"Nectarines","MB",5.88894411080996
"Nectarines","ON",13.5724809293036
"Nectarines","QC",15.1681339779949
"Nectarines","NB",8.97764434804192
"Nectarines","NS",10.7703625549241
"Nectarines","PE",9.05203561178125
"Nectarines","NL",15.8363903879826
"Nectarines","YT",10.7718788326103
"Nectarines","NT",17.0589167349717
"Nectarines","NU",6.05168259198589
"Nectarines","Canada",12.3552938357145
"Fresh nectarines","BC",8.00173136076831
"Fresh nectarines","AB",9.38205302527474
"Fresh nectarines","SK",9.53918773314084
"Fresh nectarines","MB",5.66152390491681
"Fresh nectarines","ON",11.9248315486671
"Fresh nectarines","QC",14.0279905369048
"Fresh nectarines","NB",7.38786869450874
"Fresh nectarines","NS",9.8881275226697
"Fresh nectarines","PE",8.17966421331606
"Fresh nectarines","NL",14.248004598684
"Fresh nectarines","YT",9.9085756572622
"Fresh nectarines","NT",17.0589167349717
"Fresh nectarines","NU",5.48900990067525
"Fresh nectarines","Canada",11.1501053424562
"Frozen nectarines","BC",0.364359341324641
"Frozen nectarines","AB",0.363110805582445
"Frozen nectarines","SK",0.611611682933943
"Frozen nectarines","MB",0.349651974115702
"Frozen nectarines","ON",0.408938512622376
"Frozen nectarines","QC",0.730032696779668
"Frozen nectarines","NB",0.230567467639344
"Frozen nectarines","NS",0.545756402553764
"Frozen nectarines","PE",0.174676403316533
"Frozen nectarines","NL",0.556570059782408
"Frozen nectarines","YT",0.566049284611213
"Frozen nectarines","NT",0
"Frozen nectarines","NU",0
"Frozen nectarines","Canada",0.476182672745808
"Any berries","BC",77.5696480926335
"Any berries","AB",75.6712427308621
"Any berries","SK",72.0096951789694
"Any berries","MB",71.7100510139186
"Any berries","ON",78.2559729755082
"Any berries","QC",78.7155541226492
"Any berries","NB",75.7937654991408
"Any berries","NS",78.4717126120186
"Any berries","PE",74.9431924877088
"Any berries","NL",76.7317446882227
"Any berries","YT",79.4513244753202
"Any berries","NT",86.3631406082665
"Any berries","NU",75.0120911225462
"Any berries","Canada",77.4782590543019
"Strawberries","BC",55.9114829312753
"Strawberries","AB",59.0076785411109
"Strawberries","SK",56.2081457127049
"Strawberries","MB",57.1243979150913
"Strawberries","ON",61.3458851330358
"Strawberries","QC",62.0242346840931
"Strawberries","NB",60.3902186555017
"Strawberries","NS",61.7752876425754
"Strawberries","PE",61.0546242243574
"Strawberries","NL",64.3149119090963
"Strawberries","YT",56.4966560065418
"Strawberries","NT",67.774924550272
"Strawberries","NU",61.9156144223946
"Strawberries","Canada",60.2276200018706
"Fresh strawberries","BC",46.0517712300372
"Fresh strawberries","AB",51.2456891784915
"Fresh strawberries","SK",45.5864415450039
"Fresh strawberries","MB",47.7861173393026
"Fresh strawberries","ON",54.5885841050302
"Fresh strawberries","QC",54.5608272291557
"Fresh strawberries","NB",51.4183900227078
"Fresh strawberries","NS",52.1697811121657
"Fresh strawberries","PE",46.3554971016203
"Fresh strawberries","NL",53.2864833606976
"Fresh strawberries","YT",44.8981034664897
"Fresh strawberries","NT",61.6039083933743
"Fresh strawberries","NU",54.747013107528
"Fresh strawberries","Canada",52.3513338426748
"Frozen strawberries","BC",18.8704099054284
"Frozen strawberries","AB",20.009294141782
"Frozen strawberries","SK",18.0807883536506
"Frozen strawberries","MB",17.1399424247019
"Frozen strawberries","ON",16.8816307961953
"Frozen strawberries","QC",17.5718097829017
"Frozen strawberries","NB",17.579690422789
"Frozen strawberries","NS",18.1715155729072
"Frozen strawberries","PE",20.4392598308943
"Frozen strawberries","NL",19.8473134594238
"Frozen strawberries","YT",26.6594059372327
"Frozen strawberries","NT",19.2042197432421
"Frozen strawberries","NU",21.1163748771096
"Frozen strawberries","Canada",17.8502378853981
"Dried strawberries","BC",2.95196866313432
"Dried strawberries","AB",1.64461437315199
"Dried strawberries","SK",2.79264932961813
"Dried strawberries","MB",0.807280287582495
"Dried strawberries","ON",1.67692986969401
"Dried strawberries","QC",1.79793415993725
"Dried strawberries","NB",2.15646435863751
"Dried strawberries","NS",2.7015320944966
"Dried strawberries","PE",1.52575032449808
"Dried strawberries","NL",4.93860771749802
"Dried strawberries","YT",1.90823447751628
"Dried strawberries","NT",6.876519251265
"Dried strawberries","NU",0
"Dried strawberries","Canada",1.96910745482789
"Raspberries","BC",36.0732405615341
"Raspberries","AB",37.0452114227057
"Raspberries","SK",35.3862377109802
"Raspberries","MB",27.8650492840468
"Raspberries","ON",37.5515862974342
"Raspberries","QC",43.3838090396717
"Raspberries","NB",33.3358069841402
"Raspberries","NS",29.675983170547
"Raspberries","PE",33.8184417450323
"Raspberries","NL",28.8305838915666
"Raspberries","YT",45.1811694853665
"Raspberries","NT",46.8244016345338
"Raspberries","NU",38.0217592115879
"Raspberries","Canada",37.821231535835
"Fresh raspberries","BC",27.2025176328153
"Fresh raspberries","AB",28.8652815635292
"Fresh raspberries","SK",27.0376586583338
"Fresh raspberries","MB",21.4508161501177
"Fresh raspberries","ON",31.1631867709252
"Fresh raspberries","QC",36.925578214193
"Fresh raspberries","NB",27.1828846204678
"Fresh raspberries","NS",23.784384223901
"Fresh raspberries","PE",25.8245908857603
"Fresh raspberries","NL",22.5670522052644
"Fresh raspberries","YT",32.8588337348815
"Fresh raspberries","NT",42.1888261626178
"Fresh raspberries","NU",29.40952212187
"Fresh raspberries","Canada",30.8233656807883
"Frozen raspberries","BC",12.687182481173
"Frozen raspberries","AB",11.9566195095385
"Frozen raspberries","SK",13.8700143457149
"Frozen raspberries","MB",9.2200503735169
"Frozen raspberries","ON",9.49290981933637
"Frozen raspberries","QC",10.2844934183143
"Frozen raspberries","NB",7.78689153923539
"Frozen raspberries","NS",8.96359355700246
"Frozen raspberries","PE",9.32612802532848
"Frozen raspberries","NL",8.63120161932783
"Frozen raspberries","YT",17.4329432685995
"Frozen raspberries","NT",8.39470502774586
"Frozen raspberries","NU",24.3947476629369
"Frozen raspberries","Canada",10.488359841708
"Dried raspberries","BC",1.31948621291107
"Dried raspberries","AB",0.660774590921143
"Dried raspberries","SK",0.22045951684057
"Dried raspberries","MB",0.471946432354582
"Dried raspberries","ON",0.877611816066711
"Dried raspberries","QC",0.452735139565107
"Dried raspberries","NB",0.334463225300543
"Dried raspberries","NS",0.637911113076935
"Dried raspberries","PE",0.640019612177198
"Dried raspberries","NL",1.54075624500463
"Dried raspberries","YT",0.608115041271804
"Dried raspberries","NT",1.74731005364622
"Dried raspberries","NU",0
"Dried raspberries","Canada",0.771024731165211
"Blueberries","BC",55.7494632992567
"Blueberries","AB",47.6888472754386
"Blueberries","SK",46.3472148443828
"Blueberries","MB",41.2371623437886
"Blueberries","ON",54.0506109348585
"Blueberries","QC",49.9924603616128
"Blueberries","NB",55.7706009307502
"Blueberries","NS",52.3056678988981
"Blueberries","PE",54.2974810786354
"Blueberries","NL",48.2727027048747
"Blueberries","YT",52.9394622019924
"Blueberries","NT",63.0570576087972
"Blueberries","NU",54.9664447427444
"Blueberries","Canada",51.8470996560596
"Fresh blueberries","BC",36.4499481552946
"Fresh blueberries","AB",33.3154729284094
"Fresh blueberries","SK",32.1777848008938
"Fresh blueberries","MB",29.8769152132787
"Fresh blueberries","ON",42.0673264970385
"Fresh blueberries","QC",39.5805995610291
"Fresh blueberries","NB",38.9112451484009
"Fresh blueberries","NS",37.3283897141539
"Fresh blueberries","PE",37.6093142906256
"Fresh blueberries","NL",30.4804138816576
"Fresh blueberries","YT",30.3461013568449
"Fresh blueberries","NT",42.8577385350841
"Fresh blueberries","NU",36.6304949306396
"Fresh blueberries","Canada",38.6033167700801
"Frozen blueberries","BC",31.489656655144
"Frozen blueberries","AB",23.0854993720969
"Frozen blueberries","SK",22.7782234877594
"Frozen blueberries","MB",18.0506610146219
"Frozen blueberries","ON",21.1749869912176
"Frozen blueberries","QC",17.1583907646505
"Frozen blueberries","NB",26.8925551952732
"Frozen blueberries","NS",23.748740650043
"Frozen blueberries","PE",24.8586103688685
"Frozen blueberries","NL",25.2910964467628
"Frozen blueberries","YT",32.9983993106052
"Frozen blueberries","NT",23.0187881026219
"Frozen blueberries","NU",30.6001578445301
"Frozen blueberries","Canada",22.1395660514823
"Dried blueberries","BC",1.74130219386712
"Dried blueberries","AB",0.859042565033656
"Dried blueberries","SK",1.73006991600928
"Dried blueberries","MB",2.0453972772395
"Dried blueberries","ON",2.0051358684957
"Dried blueberries","QC",1.38421796557951
"Dried blueberries","NB",0.631810808428809
"Dried blueberries","NS",1.01099494734883
"Dried blueberries","PE",1.41694808423707
"Dried blueberries","NL",4.55580802348511
"Dried blueberries","YT",1.63937767168992
"Dried blueberries","NT",1.15276613515058
"Dried blueberries","NU",0.594581196664192
"Dried blueberries","Canada",1.66024906702287
"Blackberries","BC",20.3386769854724
"Blackberries","AB",18.9892773799193
"Blackberries","SK",16.179046110086
"Blackberries","MB",13.2448007726815
"Blackberries","ON",18.2229407002654
"Blackberries","QC",16.5847349804374
"Blackberries","NB",14.1967809631019
"Blackberries","NS",13.1623146394077
"Blackberries","PE",12.5118124336948
"Blackberries","NL",15.9501463280898
"Blackberries","YT",17.7069779811051
"Blackberries","NT",31.9226224044388
"Blackberries","NU",45.7318254570001
"Blackberries","Canada",17.7448971467899
"Fresh blackberries","BC",12.8106727447728
"Fresh blackberries","AB",12.1069291485648
"Fresh blackberries","SK",11.0203109350043
"Fresh blackberries","MB",9.62881839352285
"Fresh blackberries","ON",14.3142083795794
"Fresh blackberries","QC",13.2149803860756
"Fresh blackberries","NB",9.59916568151765
"Fresh blackberries","NS",9.39227936432083
"Fresh blackberries","PE",7.44703904996606
"Fresh blackberries","NL",11.7847109729508
"Fresh blackberries","YT",10.0868521267789
"Fresh blackberries","NT",26.8052487411855
"Fresh blackberries","NU",34.278894378203
"Fresh blackberries","Canada",13.065454187499
"Frozen blackberries","BC",8.62267851337698
"Frozen blackberries","AB",7.53383779664048
"Frozen blackberries","SK",5.13483068828642
"Frozen blackberries","MB",4.73797920139392
"Frozen blackberries","ON",4.4155244817154
"Frozen blackberries","QC",4.12532819373227
"Frozen blackberries","NB",4.58146777592292
"Frozen blackberries","NS",2.99271834331605
"Frozen blackberries","PE",5.15882566639484
"Frozen blackberries","NL",4.6590489762487
"Frozen blackberries","YT",7.94824390771126
"Frozen blackberries","NT",9.8785815639089
"Frozen blackberries","NU",19.1433499306565
"Frozen blackberries","Canada",5.31400961804263
"Dried blackberries","BC",0.257579253250729
"Dried blackberries","AB",0.138310766248186
"Dried blackberries","SK",0.0316417627687545
"Dried blackberries","MB",0.200036842073026
"Dried blackberries","ON",0.307953074954242
"Dried blackberries","QC",0.204511121814441
"Dried blackberries","NB",0.253988362044604
"Dried blackberries","NS",0
"Dried blackberries","PE",0
"Dried blackberries","NL",0
"Dried blackberries","YT",0
"Dried blackberries","NT",0
"Dried blackberries","NU",0
"Dried blackberries","Canada",0.228547131549349
"Coconut","BC",8.98338768661821
"Coconut","AB",8.60646960996193
"Coconut","SK",8.69039755164554
"Coconut","MB",7.78214607893843
"Coconut","ON",9.3206101900277
"Coconut","QC",5.4660654540607
"Coconut","NB",3.82869987521396
"Coconut","NS",9.3482358703559
"Coconut","PE",8.97872616836373
"Coconut","NL",6.12979313460503
"Coconut","YT",13.0082223970821
"Coconut","NT",5.360508906887
"Coconut","NU",7.24763551751946
"Coconut","Canada",8.06060133791111
"Fresh coconut","BC",2.10710485983099
"Fresh coconut","AB",3.00065760221715
"Fresh coconut","SK",2.92295364454549
"Fresh coconut","MB",2.66302850251292
"Fresh coconut","ON",3.41144220838135
"Fresh coconut","QC",1.51989313814999
"Fresh coconut","NB",0.534748941134239
"Fresh coconut","NS",2.43470927537573
"Fresh coconut","PE",1.89306455049755
"Fresh coconut","NL",1.11193714583626
"Fresh coconut","YT",1.18199615527679
"Fresh coconut","NT",2.38182804116881
"Fresh coconut","NU",0.77826985188987
"Fresh coconut","Canada",2.57032618773724
"Frozen coconut","BC",0.349928783848434
"Frozen coconut","AB",1.16686738249991
"Frozen coconut","SK",0.892757194296659
"Frozen coconut","MB",0.804417891261784
"Frozen coconut","ON",1.72492358276615
"Frozen coconut","QC",0.373956907460972
"Frozen coconut","NB",0
"Frozen coconut","NS",0.439137970509682
"Frozen coconut","PE",1.85394832920097
"Frozen coconut","NL",0.546780763409932
"Frozen coconut","YT",0.600288863675014
"Frozen coconut","NT",0.398423624607357
"Frozen coconut","NU",0
"Frozen coconut","Canada",1.00734357229135
"Dried/shredded coconut","BC",6.51755385711003
"Dried/shredded coconut","AB",4.7250592830474
"Dried/shredded coconut","SK",4.48097871944502
"Dried/shredded coconut","MB",5.69356949961101
"Dried/shredded coconut","ON",6.00773815269296
"Dried/shredded coconut","QC",3.75723770456382
"Dried/shredded coconut","NB",3.20561342930223
"Dried/shredded coconut","NS",6.45470965607341
"Dried/shredded coconut","PE",5.87792384862741
"Dried/shredded coconut","NL",4.65518124017419
"Dried/shredded coconut","YT",10.4021358626434
"Dried/shredded coconut","NT",3.18857144496398
"Dried/shredded coconut","NU",6.02446032641517
"Dried/shredded coconut","Canada",5.28122701279053
"Apples*","BC",74.1
"Apples*","AB",73.2
"Apples*","SK",67.5
"Apples*","MB",72.3
"Apples*","ON",74.4
"Apples*","QC",69.1
"Apples*","NB",72.5
"Apples*","NS",61.1
"Apples*","PE",76.5
"Apples*","NL",73.1
"Apples*","YT",73
"Apples*","NT",61.1
"Apples*","NU",70.2
"Apples*","Canada",72.3
"Pears*","BC",25.4
"Pears*","AB",24
"Pears*","SK",19
"Pears*","MB",23.9
"Pears*","ON",23.6
"Pears*","QC",25.2
"Pears*","NB",19.7
"Pears*","NS",17.4
"Pears*","PE",25.1
"Pears*","NL",26.6
"Pears*","YT",18.7
"Pears*","NT",15.6
"Pears*","NU",24.3
"Pears*","Canada",23.9
"Apricots*","BC",5.4
"Apricots*","AB",7.8
"Apricots*","SK",5
"Apricots*","MB",3.2
"Apricots*","ON",3.2
"Apricots*","QC",5.6
"Apricots*","NB",1.7
"Apricots*","NS",2.3
"Apricots*","PE",1.8
"Apricots*","NL",8
"Apricots*","YT",3.7
"Apricots*","NT",3.3
"Apricots*","NU",3.3
"Apricots*","Canada",4.6
"Plums*","BC",18.2
"Plums*","AB",11.2
"Plums*","SK",11
"Plums*","MB",9
"Plums*","ON",11.3
"Plums*","QC",13.6
"Plums*","NB",11
"Plums*","NS",9
"Plums*","PE",9.5
"Plums*","NL",19.2
"Plums*","YT",9.5
"Plums*","NT",6.3
"Plums*","NU",5.5
"Plums*","Canada",12.7
"Citrus fruits*","BC",73.5
"Citrus fruits*","AB",71.3
"Citrus fruits*","SK",67.5
"Citrus fruits*","MB",67.2
"Citrus fruits*","ON",63.2
"Citrus fruits*","QC",61.1
"Citrus fruits*","NB",57.1
"Citrus fruits*","NS",54.5
"Citrus fruits*","PE",59.3
"Citrus fruits*","NL",68.5
"Citrus fruits*","YT",70
"Citrus fruits*","NT",69.2
"Citrus fruits*","NU",64.2
"Citrus fruits*","Canada",65
"Cherries*","BC",19.8
"Cherries*","AB",15.3
"Cherries*","SK",13.3
"Cherries*","MB",12.9
"Cherries*","ON",15.2
"Cherries*","QC",12.6
"Cherries*","NB",13
"Cherries*","NS",9
"Cherries*","PE",10.6
"Cherries*","NL",9.9
"Cherries*","YT",14.9
"Cherries*","NT",9.9
"Cherries*","NU",11.2
"Cherries*","Canada",14.7
"Grapes*","BC",56.7
"Grapes*","AB",46.6
"Grapes*","SK",47.9
"Grapes*","MB",48.1
"Grapes*","ON",51
"Grapes*","QC",55.9
"Grapes*","NB",55.9
"Grapes*","NS",47.1
"Grapes*","PE",50.2
"Grapes*","NL",56.3
"Grapes*","YT",54.6
"Grapes*","NT",49.3
"Grapes*","NU",54.8
"Grapes*","Canada",52.3
"Bananas*","BC",76.9
"Bananas*","AB",78.4
"Bananas*","SK",76.2
"Bananas*","MB",83.1
"Bananas*","ON",76.9
"Bananas*","QC",74.8
"Bananas*","NB",80
"Bananas*","NS",70.1
"Bananas*","PE",82.9
"Bananas*","NL",81.3
"Bananas*","YT",76.4
"Bananas*","NT",71.1
"Bananas*","NU",76.3
"Bananas*","Canada",76.7
"Pineapple*","BC",27.2
"Pineapple*","AB",35
"Pineapple*","SK",28.2
"Pineapple*","MB",28
"Pineapple*","ON",29.6
"Pineapple*","QC",30.5
"Pineapple*","NB",28.2
"Pineapple*","NS",26.6
"Pineapple*","PE",29.5
"Pineapple*","NL",38.4
"Pineapple*","YT",31.8
"Pineapple*","NT",18.7
"Pineapple*","NU",13.5
"Pineapple*","Canada",30
"Olives*","BC",31
"Olives*","AB",23.7
"Olives*","SK",13.4
"Olives*","MB",16.3
"Olives*","ON",27
"Olives*","QC",33.8
"Olives*","NB",17.4
"Olives*","NS",18.3
"Olives*","PE",14.1
"Olives*","NL",13.9
"Olives*","YT",31
"Olives*","NT",14.1
"Olives*","NU",7.7
"Olives*","Canada",27.2
"Kiwi*","BC",13.5
"Kiwi*","AB",10.6
"Kiwi*","SK",10
"Kiwi*","MB",10.6
"Kiwi*","ON",10.6
"Kiwi*","QC",15.9
"Kiwi*","NB",9.5
"Kiwi*","NS",12.4
"Kiwi*","PE",15.2
"Kiwi*","NL",14.1
"Kiwi*","YT",7
"Kiwi*","NT",10.5
"Kiwi*","NU",13.4
"Kiwi*","Canada",12.3
"Bag of mixed frozen fruit or berries","BC",20.5693540261935
"Bag of mixed frozen fruit or berries","AB",24.0860118841487
"Bag of mixed frozen fruit or berries","SK",20.4904964373454
"Bag of mixed frozen fruit or berries","MB",20.0901593953987
"Bag of mixed frozen fruit or berries","ON",19.162018089893
"Bag of mixed frozen fruit or berries","QC",18.0700231151546
"Bag of mixed frozen fruit or berries","NB",16.2602643075016
"Bag of mixed frozen fruit or berries","NS",22.6125605689684
"Bag of mixed frozen fruit or berries","PE",16.0274627549329
"Bag of mixed frozen fruit or berries","NL",24.036132159895
"Bag of mixed frozen fruit or berries","YT",34.3767320881587
"Bag of mixed frozen fruit or berries","NT",24.1607332379994
"Bag of mixed frozen fruit or berries","NU",26.1661411990294
"Bag of mixed frozen fruit or berries","Canada",19.8612044687342
"Any frozen fruit*","BC",35.7
"Any frozen fruit*","AB",30.5
"Any frozen fruit*","SK",25.4
"Any frozen fruit*","MB",27.8
"Any frozen fruit*","ON",21.1
"Any frozen fruit*","QC",18.1
"Any frozen fruit*","NB",26.4
"Any frozen fruit*","NS",24.8
"Any frozen fruit*","PE",30.6
"Any frozen fruit*","NL",28.6
"Any frozen fruit*","YT",47.3
"Any frozen fruit*","NT",41
"Any frozen fruit*","NU",40.5
"Any frozen fruit*","Canada",24.2
"Frozen berries*","BC",33.5
"Frozen berries*","AB",27.3
"Frozen berries*","SK",22.3
"Frozen berries*","MB",25.8
"Frozen berries*","ON",17.4
"Frozen berries*","QC",16.2
"Frozen berries*","NB",22.5
"Frozen berries*","NS",23.4
"Frozen berries*","PE",23.9
"Frozen berries*","NL",26.8
"Frozen berries*","YT",44.5
"Frozen berries*","NT",39.4
"Frozen berries*","NU",33.5
"Frozen berries*","Canada",21.3
"Frozen fruit (not including berries)*","BC",13.3
"Frozen fruit (not including berries)*","AB",14.3
"Frozen fruit (not including berries)*","SK",9.7
"Frozen fruit (not including berries)*","MB",8.7
"Frozen fruit (not including berries)*","ON",8.6
"Frozen fruit (not including berries)*","QC",6.7
"Frozen fruit (not including berries)*","NB",8.3
"Frozen fruit (not including berries)*","NS",5.9
"Frozen fruit (not including berries)*","PE",9.7
"Frozen fruit (not including berries)*","NL",6.3
"Frozen fruit (not including berries)*","YT",15.4
"Frozen fruit (not including berries)*","NT",18.3
"Frozen fruit (not including berries)*","NU",22.1
"Frozen fruit (not including berries)*","Canada",9.4
"Dried fruit*","BC",42.6
"Dried fruit*","AB",34.7
"Dried fruit*","SK",28.5
"Dried fruit*","MB",31.1
"Dried fruit*","ON",35.7
"Dried fruit*","QC",25
"Dried fruit*","NB",27.5
"Dried fruit*","NS",31.9
"Dried fruit*","PE",34.3
"Dried fruit*","NL",31.5
"Dried fruit*","YT",46.6
"Dried fruit*","NT",35.5
"Dried fruit*","NU",43.6
"Dried fruit*","Canada",33.2
"Fruit smoothies (at home or store-bought)","BC",31.7196684445875
"Fruit smoothies (at home or store-bought)","AB",30.1095894462557
"Fruit smoothies (at home or store-bought)","SK",28.526698731569
"Fruit smoothies (at home or store-bought)","MB",27.6642486395698
"Fruit smoothies (at home or store-bought)","ON",30.2434744651262
"Fruit smoothies (at home or store-bought)","QC",20.816378669596
"Fruit smoothies (at home or store-bought)","NB",26.3852451941156
"Fruit smoothies (at home or store-bought)","NS",28.9595239217936
"Fruit smoothies (at home or store-bought)","PE",29.747917332092
"Fruit smoothies (at home or store-bought)","NL",27.4792903378678
"Fruit smoothies (at home or store-bought)","YT",38.6100941708002
"Fruit smoothies (at home or store-bought)","NT",30.4714710421899
"Fruit smoothies (at home or store-bought)","NU",35.729537583528
"Fruit smoothies (at home or store-bought)","Canada",27.9660546656276
"Unpasteurized apple cider or fruit juice","BC",15.9521254952431
"Unpasteurized apple cider or fruit juice","AB",14.3045805445443
"Unpasteurized apple cider or fruit juice","SK",13.777850405217
"Unpasteurized apple cider or fruit juice","MB",18.5783703517856
"Unpasteurized apple cider or fruit juice","ON",15.8839503810273
"Unpasteurized apple cider or fruit juice","QC",19.3893356308341
"Unpasteurized apple cider or fruit juice","NB",13.8971095280846
"Unpasteurized apple cider or fruit juice","NS",15.5223364963389
"Unpasteurized apple cider or fruit juice","PE",14.6448550759291
"Unpasteurized apple cider or fruit juice","NL",17.263071009313
"Unpasteurized apple cider or fruit juice","YT",9.53590329554155
"Unpasteurized apple cider or fruit juice","NT",17.3144671676237
"Unpasteurized apple cider or fruit juice","NU",6.65086541009954
"Unpasteurized apple cider or fruit juice","Canada",16.4972872462821
"Unpasteurized fruit juice*","BC",4.3
"Unpasteurized fruit juice*","AB",3.4
"Unpasteurized fruit juice*","SK",4.5
"Unpasteurized fruit juice*","MB",3.3
"Unpasteurized fruit juice*","ON",8.8
"Unpasteurized fruit juice*","QC",12.6
"Unpasteurized fruit juice*","NB",7.4
"Unpasteurized fruit juice*","NS",2.4
"Unpasteurized fruit juice*","PE",5.5
"Unpasteurized fruit juice*","NL",2.5
"Unpasteurized fruit juice*","YT",7
"Unpasteurized fruit juice*","NT",7.1
"Unpasteurized fruit juice*","NU",5.5
"Unpasteurized fruit juice*","Canada",7.8
"Any nuts","BC",77.691997968105
"Any nuts","AB",74.6683188789286
"Any nuts","SK",72.3382113524185
"Any nuts","MB",66.8337839725865
"Any nuts","ON",74.9393832620369
"Any nuts","QC",72.8141722897542
"Any nuts","NB",70.4795446354445
"Any nuts","NS",71.6950156858724
"Any nuts","PE",64.1517735540819
"Any nuts","NL",67.8883223864418
"Any nuts","YT",79.0669088252939
"Any nuts","NT",70.9471771535646
